Area,X,Y,Aligned X,Aligned Y,Group,Row,Order
103,2087.752,4079.471,14432.49064,1197.25764909248,6,11,17
103,851.752,2559.112,131.97064,1065.85237683665,6,12,3
104,2306.837,4098.5,16967.30409,1198.90233362143,6,12,17
104,2891.538,4610.971,23732.29466,1243.19541918755,6,12,22
105,2023.186,3967.824,13685.46202,1187.60795159896,6,11,16
105,1004.881,2620.09,1903.67317,1071.12273120138,6,12,4
106,859.642,2570.594,223.257940000001,1066.84477095938,6,12,3
110,1841.8,3755.9,11586.826,1169.29127052723,6,11,14
110,1479.391,2994.364,7393.75387,1103.47139152982,6,12,8
110,1645.364,3244,9314.06148,1125.04753673293,6,12,10
111,1048.995,2840.743,2414.07215,1090.19386343993,6,11,6
112,2220.384,4188.554,15967.04288,1206.68573898012,6,11,18
112,1738.357,3370.188,10389.99049,1135.95401901469,6,12,11
113,1745.013,3619.712,10467.00041,1157.52048401037,6,11,13
114,1751.605,3613.886,10543.26985,1157.01694036301,6,11,13
115,1948.074,3602.622,12816.41618,1156.0433880726,6,12,13
117,1261.85,2806.842,4876.8045,1087.26378565255,6,12,6
121,1475.946,3008.5,7353.89522,1104.69317199654,6,12,8
122,1949.525,3587.443,12833.20425,1154.73146067416,6,12,13
122,2221.943,3962.107,15985.08051,1187.11382886776,6,12,16
125,2889.98,4671.316,23714.2686,1248.41106309421,6,12,21
126,1566.595,3109.119,8402.70415,1113.3897147796,6,12,9
127,1846.854,3475.642,11645.30078,1145.06845289542,6,12,12
130,1660.346,3482.777,9487.40322,1145.68513396716,6,11,12
130,2914.192,4892.323,23994.40144,1267.51279170268,6,11,24
130,2899.5,4886.323,23824.415,1266.99420916162,6,11,24
130,2858.577,4659.269,23350.93589,1247.3698357822,6,12,21
131,2905.088,4695.767,23889.06816,1250.52437337943,6,12,22
133,1550.598,3345.575,8217.61886,1133.82670700086,6,11,11
133,1663.718,3497.62,9526.41726,1146.9680207433,6,11,12
133,1913.147,3911.741,12412.31079,1182.7606741573,6,11,15
134,1830.269,3490.545,11453.41233,1146.35652549698,6,12,12
137,2227.836,4197.383,16053.26252,1207.44883318928,6,11,18
137,1844.536,3492.142,11618.48152,1146.49455488332,6,12,12
137,2895.865,4649.011,23782.35805,1246.48323249784,6,12,21
141,2216.748,4220.138,15924.97436,1209.41555747623,6,11,18
141,2341.479,4316.599,17368.11203,1217.75272255834,6,11,19
144,2880.049,4860.257,23599.36693,1264.74131374244,6,11,24
144,1746.674,3347.417,10486.21818,1133.98591184097,6,12,11
148,1128.682,2747.662,3336.05074,1082.14883318928,6,12,5
149,2327.399,4327.997,17205.20643,1218.7378565255,6,11,19
152,2937.98,4864.632,24269.6286,1265.11944684529,6,11,24
152,1635.211,3214.658,9196.59127,1122.51149524633,6,12,10
154,1143.39,2731,3506.2223,1080.70872947277,6,12,5
154,1255.818,2794.292,4807.01426,1086.17908383751,6,12,6
157,2319.048,4090.525,17108.58536,1198.21305099395,6,12,17
162,1473.648,2984.685,7327.30736,1102.63483146067,6,12,8
165,2547.233,4328.742,19748.68581,1218.80224719101,6,12,19
165,2908.185,4621.33,23924.90045,1244.09075194468,6,12,22
167,1175.716,2963.554,3880.23412,1100.8084701815,6,11,7
167,1474.47,2974.482,7336.8179,1101.75298184961,6,12,8
169,1832.689,3475.547,11481.41173,1145.06024200519,6,12,12
170,1655.012,3510.029,9425.68884,1148.04053586863,6,11,12
171,2837.547,4550.471,23107.61879,1237.96637856525,6,12,21
172,2075.047,4102.285,14285.49379,1199.22947277442,6,11,17
176,1938.517,3580.148,12705.84169,1154.10095073466,6,12,13
176,2333.949,4080.352,17280.98993,1197.33379429559,6,12,17
178,1382.899,3151.949,6277.34143,1117.0915298185,6,11,9
178,2460.792,4474.837,18748.56344,1231.42929991357,6,11,20
180,1738.939,3642.839,10396.72423,1159.51936041487,6,11,13
181,2886.981,4874.931,23679.57017,1266.00959377701,6,11,24
184,1939.902,3619.94,12721.86614,1157.54019014693,6,12,13
