X,,Area (AU),,,,,
,0-50,50-150,150-300,300-800,800-1800,1800-3000,3000-8000
-826.656,-804.4025,,,,,,
1435.344,-824.4025,,,,,,
-1012.656,-846.4025,,,,,,
-966.656,-847.4025,,,,,,
-642.656,-854.4025,,,,,,
-480.656,-939.4025,,,,,,
409.344,-1386.4025,,,,,,
-1875.656,-1410.4025,,,,,,
-331.656,-1416.4025,,,,,,
38.344,-1424.4025,,,,,,
-1212.656,-1536.4025,,,,,,
-1455.656,-1913.4025,,,,,,
-752.656,-1921.4025,,,,,,
-489.656,-1926.4025,,,,,,
-473.656,-1928.4025,,,,,,
56.3440000000001,-1934.4025,,,,,,
-1569.656,-1943.4025,,,,,,
675.344,-2146.4025,,,,,,
-1049.656,-2187.4025,,,,,,
476.344,-2543.4025,,,,,,
-1328.656,-2643.4025,,,,,,
-453.656,-2800.4025,,,,,,
-407.656,-2801.4025,,,,,,
-1241.656,-2876.4025,,,,,,
-243.156,2760.5975,,,,,,
-635.156,2055.5975,,,,,,
-587.656,1793.0975,,,,,,
-292.156,1567.5975,,,,,,
-1001.656,1288.0975,,,,,,
16.8440000000001,1095.5975,,,,,,
-1298.156,1073.5975,,,,,,
-988.156,633.5975,,,,,,
-777.156,624.5975,,,,,,
-1072.656,513.0975,,,,,,
-751.156,395.5975,,,,,,
1750.344,326.0975,,,,,,
-1170.156,-331.4025,,,,,,
-574.156,-375.4025,,,,,,
-550.656,-390.9025,,,,,,
-781.656,-548.9025,,,,,,
-63.656,-644.9025,,,,,,
-700.656,-669.9025,,,,,,
-1067.656,-707.9025,,,,,,
-824.656,-801.9025,,,,,,
-1570.656,-1910.9025,,,,,,
-936.656,-1985.9025,,,,,,
-1244.156,-2875.4025,,,,,,
-807.656,-2976.9025,,,,,,
-970.323,2536.9305,,,,,,
-447.323,1672.2645,,,,,,
-660.323,526.2645,,,,,,
-266.989,509.2645,,,,,,
-452.323,508.2645,,,,,,
-276.656,499.5975,,,,,,
-626.323,249.2645,,,,,,
-354.323,101.2645,,,,,,
-840.989,71.9305000000004,,,,,,
-605.656,21.5975000000003,,,,,,
-359.323,-159.0695,,,,,,
409.011,-307.7355,,,,,,
-631.989,-848.735499999999,,,,,,
-265.156,2786.0975,,,,,,
-377.906,2291.8475,,,,,,
-1251.156,2174.0975,,,,,,
-857.656,1748.8475,,,,,,
926.344,1732.8475,,,,,,
-350.906,665.5975,,,,,,
-370.156,118.0975,,,,,,
-630.156,18.0975000000003,,,,,,
-345.656,-160.6525,,,,,,
-964.156,-273.9025,,,,,,
-270.156,-567.4025,,,,,,
-690.156,-665.4025,,,,,,
-478.906,-1928.1525,,,,,,
-946.656,-1981.9025,,,,,,
-730.156,-2467.9025,,,,,,
-743.256,2601.3975,,,,,,
-635.056,2061.7975,,,,,,
-984.256,1278.7975,,,,,,
-634.656,888.5975,,,,,,
-641.256,878.7975,,,,,,
-1057.056,877.7975,,,,,,
-300.256,769.397500000001,,,,,,
-663.856,520.9975,,,,,,
-1064.456,505.1975,,,,,,
-635.456,-249.8025,,,,,,
-451.856,-267.8025,,,,,,
-955.856,-289.8025,,,,,,
-1163.656,-331.4025,,,,,,
-988.256,-492.2025,,,,,,
7.14400000000023,-544.8025,,,,,,
-704.856,-668.0025,,,,,,
-1312.056,-1705.2025,,,,,,
-455.823,2603.7645,,,,,,
-854.156,1773.5975,,,,,,
-863.656,876.7645,,,,,,
-723.989,773.7645,,,,,,
-357.656,651.0975,,,,,,
-960.823,410.0975,,,,,,
-631.656,-225.9025,,,,,,
-276.656,-586.9025,,,,,,
-546.989,-1353.9025,,,,,,
-1475.489,-1416.2355,,,,,,
-733.156,-2455.4025,,,,,,
-970.942,2540.5975,,,,,,
-839.656,2387.3115,,,,,,
-1063.227,1124.8835,,,,,,
-58.085,975.8835,,,,,,
-1066.513,874.4545,,,,,,
-913.656,767.8835,,,,,,
-720.37,157.0265,,,,,,
-605.656,10.5975000000003,,,,,,
-912.656,-624.6885,,,,,,
-1051.656,-696.4025,,,,,,
930.915,-997.1165,,,,,,
-916.799,-1982.1165,,,,,,
-791.227,-2996.1165,,,,,,
-956.281,2203.9725,,,,,,
-841.281,1778.8475,,,,,,
-407.281,1672.3475,,,,,,
-274.781,1530.7225,,,,,,
-630.656,1414.8475,,,,,,
-549.656,1000.3475,,,,,,
-592.281,667.2225,,,,,,
-926.406,-68.0274999999997,,,,,,
-845.406,-161.7775,,,,,,
19.2190000000001,-765.6525,,,,,,
-850.906,-796.1525,,,,,,
-790.406,-939.7775,,,,,,
-1315.906,-1693.7775,,,,,,
-923.156,-1980.9025,,,,,,
-722.781,-2066.2775,,,,,,
-1673.906,-2093.5275,,,,,,
-1624.406,-2264.6525,,,,,,
-484.531,-2596.6525,,,,,,
-368.434,2043.7085,,,,,,
-158.656,1407.5975,,,,,,
-592.989,1199.8195,,,,,,
-264.212,1112.3755,,,,,,
-1061.656,860.5975,,,,,,
-310.545,762.2645,,,,,,
-727.656,753.5975,,,,,,
-775.545,619.2645,,,,,,
-882.767,499.4865,,,,,,
-938.545,397.0415,,,,,,
-734.323,138.7085,,,,,,
-620.767,4.70850000000019,,,,,,
-166.767,-743.0695,,,,,,
-494.545,-811.5135,,,,,,
-533.1,-1352.2915,,,,,,
-1304.878,-1705.5135,,,,,,
-603.323,-1865.5135,,,,,,
-482.545,-2605.0695,,,,,,
-1100.878,-2621.9585,,,,,,
-433.656,-2839.0695,,,,,,
-898.356,1959.6975,,,,,,
-641.656,1442.0975,,,,,,
-1063.656,1129.8975,,,,,,
-581.156,989.3975,,,,,,
-208.556,849.3975,,,,,,
-1065.656,514.5975,,,,,,
-275.456,508.5975,,,,,,
-948.656,-48.9024999999997,,,,,,
-382.256,-441.5025,,,,,,
-915.356,-647.0025,,,,,,
-1125.156,-1364.4025,,,,,,
-953.856,-1968.9025,,,,,,
-518.556,-1990.6025,,,,,,
-728.856,-2063.9025,,,,,,
-1668.156,-2087.4025,,,,,,
-220.111,2772.8705,,,,,,
-436.474,1658.9615,,,,,,
-1023.292,1499.5065,,,,,,
-1101.565,1330.7795,,,,,,
-873.02,885.5065,,,,,,
-949.838,-276.1295,,,,,,
-1148.111,-569.9475,,,,,,
-821.747,-1166.1295,,,,,,
-530.292,-1995.4935,,,,,,
-1004.292,-2356.3115,,,,,,
-932.838,-2508.9475,,,,,,
-450.739,515.0975,,,,,,
-700.239,-86.3194999999996,,,,,,
-968.239,-282.3195,,,,,,
663.261,-515.4025,,,,,,
29.6770000000001,-760.735499999999,,,,,,
-635.239,-842.485499999999,,,,,,
-542.073,-1339.6525,,,,,,
-346.323,-1632.9025,,,,,,
-623.156,-2193.9025,,,,,,
-1371.239,-2442.4025,,,,,,
-912.041,1402.7515,,,,,,
-639.041,884.2125,,,,,,
-298.656,780.5975,,,,,,
-992.887,664.3665,,,,,,
-271.041,-301.017499999999,,,,,,
-380.656,-684.4025,,,,,,
-916.425,-1021.7875,,,,,,
-1136.194,-1352.1715,,,,,,
-1187.271,-1524.7875,,,,,,
-259.348,-1560.4025,,,,,,
-358.656,-1648.1715,,,,,,
-1661.271,-2088.0175,,,,,,
-1556.964,-2455.7105,,,,,,
-951.585,1601.3115,,,,,,
-787.156,1542.8115,,,,,,
-275.085,1325.0975,,,,,,
-265.37,1326.5265,,,,,,
-829.227,1202.2405,,,,,,
-1287.727,1067.2405,,,,,,
-1292.442,1053.6685,,,,,,
-756.513,384.8115,,,,,,
-679.227,-671.0455,,,,,,
-175.156,-748.6885,,,,,,
-204.156,-992.9025,,,,,,
-1489.013,-1419.6165,,,,,,
-361.87,-1633.6165,,,,,,
-1019.299,-1815.6165,,,,,,
-1020.37,-1824.9025,,,,,,
-809.156,-2991.1885,,,,,,
-837.123,2370.4645,,,,,,
-610.923,2053.7975,,,,,,
-370.123,-414.8695,,,,,,
-198.456,-479.1355,,,,,,
-911.789,-635.3355,,,,,,
-1020.123,-1210.8025,,,,,,
-763.189,-1270.0695,,,,,,
-1031.523,-1480.0025,,,,,,
-616.456,-1576.9355,,,,,,
-1495.656,-2681.1355,,,,,,
-1265.589,-2872.8695,,,,,,
-809.531,2130.9095,,,,,,
-1012.344,1815.7855,,,,,,
-1290.844,1072.2225,,,,,,
-84.4679999999999,783.4095,,,,,,
-365.656,658.3475,,,,,,
-1068.468,500.8475,,,,,,
-254.344,481.5975,,,,,,
-520.344,-120.5905,,,,,,
-624.344,-226.3405,,,,,,
-463.906,-264.5905,,,,,,
-970.344,-269.7775,,,,,,
-869.468,-382.9645,,,,,,
104.156,-911.5275,,,,,,
-707.156,-1061.4025,,,,,,
-440.031,-1509.4645,,,,,,
-451.468,-1797.2145,,,,,,
-483.844,-2178.7775,,,,,,
-461.009,2609.8915,,,,,,
-838.48,1767.1855,,,,,,
-517.656,1528.7735,,,,,,
-266.303,1097.7155,,,,,,
-647.656,254.0685,,,,,,
-272.95,-325.9905,,,,,,
-928.362,-639.284499999999,,,,,,
-927.009,-990.1675,,,,,,
-3.42099999999982,-1038.9315,,,,,,
-1106.068,-1671.2845,,,,,,
-1079.656,-2610.4025,,,,,,
-253.323,2770.6535,,,,,,
-1236.1,2170.0415,,,,,,
-802.656,2123.0975,,,,,,
-614.6,2049.1535,,,,,,
-638.045,1433.4305,,,,,,
-824.1,1185.0975,,,,,,
-2.54500000000007,1083.2085,,,,,,
-659.1,513.7645,,,,,,
