,,Y
292,1944.703,768.829
293,2624.586,767.323
294,2263.76,780.936
295,1600.434,779.875
296,2634.62,780.319
297,1905.78,775.232
298,2852.234,795.377
299,2876.451,800.29
300,2832.644,785.472
301,1953.547,796.069
302,2221.566,782.032
303,1625.252,783.086
304,1908.442,798.175
305,1918.385,784.673
306,1941.761,783.283
307,2242.241,792.462
308,1297.679,800.52
309,1293.5,782.5
310,1317.308,789.137
311,884.185,788.761
312,1624.659,797.892
313,1930.648,792.296
314,1640.257,792.943
315,863.67,808.053
316,2196.926,798.345
317,898.573,798.146
318,1339.688,794.125
319,1337.384,801.509
320,1651.909,814.821
321,2227.361,807.204
322,881.197,805.233
323,913.024,817.569
324,1603.99,805.611
325,1315.624,802.655
326,1599.021,830.519
327,1333.761,811.197
328,2264.5,803.5
329,895.093,817.618
330,1616.506,816.04
331,1312.539,813.658
332,1632.865,816.295
333,1327.059,822.33
334,1320.104,841.154
335,876.5,819.5
336,889.697,837.286
337,1628.25,826.25
338,2381.436,846.218
339,2217.5,848.5
340,2448.545,866.487
341,2384.025,868.315
342,2401.5,852.5
343,2416.085,871.258
344,2368.205,897.317
345,1027.025,884.449
346,2081.414,887.898
347,1814.059,888.204
348,2043.309,892.722
349,2405.22,889.912
350,2926.545,897.743
351,1062.515,904.005
352,2743.803,900.973
353,1490.052,897.241
354,2450.33,899.679
355,2712.945,895.481
356,2463.5,886.5
357,1776.268,915.613
358,2897.294,910.474
359,1840.146,908.857
360,2422.417,903.293
361,1799.091,899.032
362,2436.5,894.5
363,1029.995,903.042
364,2092.551,906.139
365,1456.897,914.985
366,2059.24,904.32
367,1044.964,904.716
368,1021.436,915.889
369,1478.458,907.805
370,1828.317,916.151
371,1813.845,911.822
372,1784.167,909.109
373,2724.5,905.5
374,2709.616,910.255
375,2929.826,929.376
376,766.317,920.555
377,2050.071,916.018
378,2404.551,917.808
379,2879.791,925.866
380,1492.318,911.136
381,782.5,910.5
382,1791.179,913.67
383,1036.53,915.136
384,1516.826,929.909
385,1049.875,914.125
386,1804.294,920.441
387,1013.5,915.5
388,1502.903,922.879
389,1487.13,925.696
390,2104.462,942.118
391,2708.23,925.333
392,1044.246,922.675
393,2068.173,925.951
394,1470.697,922.724
395,2091.738,923.238
396,2735.593,936.253
397,2046.978,935.796
398,1793.056,925.5
399,1056.176,940.518
400,1817.867,929.665
401,763.944,935.337
402,1828.748,940.814
403,1804.764,931.745
404,2081.881,935.861
405,1500.197,935.076
406,1481.231,943.127
407,795.03,957.456
408,738.017,960.183
409,2881.728,948.819
410,782.337,946.733
411,755,944
412,770.056,948.056
413,758.487,959.538
414,776.774,959.101
415,2908.344,967.619
416,1207.481,965.654
417,2885.608,967.617
418,766.903,975.083
419,1178.465,985.06
420,1567.5,973.5
421,1191.278,988.961
422,1205.139,980.03
423,762.44,995.664
424,1844.5,979.5
425,1210.773,989.318
426,1196.625,987.188
427,1225.736,1002.163
428,1216.976,992.357
429,1203.5,995
430,1211.857,1002.381
431,1229.059,1033.047
432,1199.308,1006.811
433,1191.138,1021.216
434,2535.295,1017.393
435,2603.184,1018.245
436,1659.453,1032.069
437,2247.964,1010.949
438,2564.671,1021.121
439,2219.943,1032.642
440,2268.002,1026.369
441,2243.009,1030.515
442,2507.824,1038.569
