Area,vx,vy,vz,Group,Row,Order
100,0.03855334431731,0.09015544387376,0.995181207409925,3,5,13
100,-0.479930535515078,0.877302574028877,0.00262196157808,3,6,17
100,0.337205242315184,0.381766686156787,0.860550301781379,4,8,14
100,-0.635427737704757,0.501233464881618,-0.587364115211495,5,9,14
100,0.16446852105011,0.4248054960876,0.890219296621545,9,17,3
101,-0.229440019197223,-0.877316144736451,-0.421513534510517,5,10,12
101,-0.236848864996144,0.92325361096654,-0.302498570223535,7,13,7
101,0.775033291930995,-0.231277417092838,0.588076655497794,8,15,17
101,-0.14321721686753,-0.015826004859084,0.989564735812124,9,17,6
101,0.136314465761385,0.345061868873699,0.928628382655612,9,18,3
101,-0.094866727992948,0.022155760367659,0.995243400481733,9,18,10
101,-0.011533945182248,-0.053885058504298,-0.99848052989456,10,19,7
101,-0.299595996211804,0.146574036153336,0.942739779037448,11,21,11
101,0.152643852107961,-0.961573777100777,-0.228201063989169,12,23,8
102,0.491478888258958,-0.268898801179061,-0.828336850031557,1,2,4
102,0.224437515131188,-0.78790496014621,0.573440123795621,5,10,16
102,-0.193399736709367,-0.121734699883208,-0.973538496765841,7,13,8
102,-0.841683747865911,0.455455465394862,-0.290049629581464,7,13,22
102,0.156209269350171,-0.860637835519832,-0.484666050225126,8,16,11
102,-0.351201764056546,-0.454752888615873,0.818448001536499,10,20,18
102,0.014952983808587,0.061814780735041,0.997975621524844,11,21,10
103,0.963458639585232,0.009741351741596,0.267679950453561,3,5,16
103,-0.025064923806857,-0.973063009578017,0.229172705585828,4,7,11
103,-0.951981354248513,-0.305836247654796,0.013988952198162,6,11,17
103,-0.657941946450883,-0.752694166000756,0.02374631695338,6,12,3
103,-0.662769395729073,0.229189472887904,-0.712887728609691,7,13,12
103,-0.817823032007755,0.256849204262619,-0.514969877359154,9,17,15
103,-0.310342862280447,0.653075103106208,-0.690782322829989,9,18,5
103,0.264301955716915,0.181187738604659,0.947267374917739,9,18,11
103,0.814681526892072,0.174832433059763,0.552926423759261,12,24,5
104,0.065214693325789,-0.063534988410748,-0.995846548933152,3,5,9
104,0.856043988060313,-0.170735018547849,0.487891631356043,3,5,11
104,-0.694396389729221,0.107688109875864,0.711489230362897,3,5,15
104,-0.145387039169612,0.046401643227242,0.988286140926455,5,9,17
104,-0.339912379066529,0.839465948693913,0.423976998834561,6,12,17
104,0.488548505850279,-0.585321636202936,0.647084955492073,6,12,22
104,0.008829988245672,0.067465152462243,-0.997682556984348,7,14,10
104,0.163118093380926,-0.041353423969013,0.985739510184009,8,15,7
104,0.020325536949628,0.014397109578169,0.999689749764147,8,16,11
104,-0.428307931349432,0.293075714345523,0.854785903957261,9,17,9
104,0.139382175196578,0.101073702643119,-0.985066858579396,9,18,9
104,0.251944210779906,-0.962573572054701,-0.099881094489119,10,19,20
104,-0.048331148236977,0.038238136836119,-0.99809916591559,10,20,12
105,0.556038151365663,0.138970940643696,0.819456314810291,4,7,7
105,0.606140169322221,-0.165546171884128,-0.77793866089078,4,8,10
105,0.771926621503678,0.066494267974365,0.632224488089849,6,11,16
105,-0.978584388305782,0.158288595198609,-0.131595271929693,6,12,4
105,-0.248247519208425,0.006337710888561,0.968675901748131,7,13,8
105,-0.746905318946801,0.572691737838342,-0.337870711871682,9,18,13
105,0.306190553453612,-0.857287981439412,0.413889673530652,9,18,19
106,0.059470537877216,-0.129250718883148,0.989827008518551,3,6,7
106,-0.594303130421498,0.655379861559295,0.466134129016238,5,10,17
106,-0.264987554866605,0.942548226394316,-0.203431651142953,6,12,3
107,0.091583795449875,-0.13074783110594,0.987176485271042,1,2,5
107,-0.362412772774562,0.750612760104756,-0.552483001093947,2,4,11
107,0.915620694323481,0.378090359442701,-0.136698296342989,4,7,14
107,0.496545270983573,-0.106907277663936,0.86140212900035,9,17,12
107,0.964931213321917,-0.191941992708976,0.179069888568685,10,19,7
107,-0.31620245570432,-0.139910069355228,0.938318271962969,11,21,8
108,0.159923650464655,-0.914825725760502,0.370834622856104,3,6,10
108,-0.674295666350479,-0.253461494562223,0.693601200341556,7,14,18
108,-0.070434460045877,-0.002888580173612,-0.997512226963974,8,16,15
109,-0.545175829587645,-0.33413359706421,-0.768855028042579,1,2,4
109,-0.875808892961802,0.085457785715834,-0.475032367180985,4,7,17
109,-0.911974612157867,-0.17350235026104,0.371751585381157,5,10,7
109,0.07234918530543,0.051426427101222,0.996052668276755,5,10,16
109,0.129133916416403,0.02073678742296,0.991410317314852,9,17,9
109,-0.994238270836821,-0.022275296149279,0.104852620305215,9,18,2
109,-0.635485324169636,-0.242031772150253,-0.733197806894443,9,18,12
109,0.136241884075284,-0.457580139474612,0.878668632069002,10,19,3
109,0.015679116070498,-0.983069884197222,0.18255894418984,10,20,8
109,0.046416319930635,0.080946830826506,-0.995637050246344,12,23,6
110,-0.892314923716292,0.427732158679979,-0.144288867706947,1,2,7
110,0.378626863008351,-0.877567073740189,0.294138963239379,5,9,7
110,0.457719060930133,-0.881523804053761,0.115797427207272,5,9,12
110,0.657095095364445,0.467920091091434,0.590996466995341,6,11,14
110,-0.011144376010689,-0.010857715583752,-0.99987894912116,6,12,8
110,-0.678565326180495,-0.253375948412298,0.689456109460005,6,12,10
110,0.037356580422092,-0.18179907609351,0.982625860554623,7,13,8
110,-0.067641113288173,0.81724795202941,-0.572302773623256,8,16,15
110,-0.45444579544053,-0.247160428726093,-0.85579830654095,8,16,16
110,-0.928491653874513,-0.225807546975605,-0.294812144278747,10,20,2
110,-0.643080921175078,0.416583099234759,0.64257719400285,10,20,6
111,0.127828316413431,-0.071029961153521,-0.989249546950332,1,1,3
111,-0.234127891327084,0.281906499167516,-0.930436916845978,2,3,4
111,0.274442100011148,0.079607517082876,0.958302758508693,3,5,7
111,0.25832690136012,-0.452198350184271,0.853688388186405,4,7,12
111,-0.239006330831374,-0.014648510009352,0.970907511031318,6,11,6
111,0.805037492180678,0.020721189679981,0.592861930369704,8,15,23
111,-0.020148949033056,-0.182419692326507,0.98301428051904,8,16,15
111,-0.440815055181327,0.595380514146043,0.671717299539529,10,20,10
111,0.941630850142301,0.266177074845994,-0.206109453656829,11,21,19
111,0.195568932242158,0.295823324947132,0.935008744963856,12,24,6
112,-0.001814537797857,-0.04747504881181,0.998870776023053,2,3,8
112,-0.046129324838103,-0.00979081117308,-0.99888749386833,3,5,8
112,-0.020128520409958,0.478419950779854,-0.877900446156572,3,6,15
112,0.900098411896088,0.416027838860201,-0.129397396401362,4,8,18
112,0.096633239658989,0.031398121536603,0.994824695590626,6,11,18
112,-0.195102659598148,0.709718124933122,-0.676930672491019,6,12,11
112,0.457341911833308,0.358252345961093,0.813937118144902,7,13,9
112,0.181544456891416,0.939297735919872,0.291138065988981,7,14,10
112,-0.863341571340417,0.183162708447104,0.470205012127456,8,15,4
112,-0.320752823555221,-0.210341111329705,0.923511907376368,9,18,5
112,-0.057949903251917,0.723038135933486,0.688373200160293,10,20,1
112,-0.763170958911453,-0.448987747763526,-0.464736581121403,11,22,10
112,-0.743681113913114,-0.153773792647886,-0.650608962052964,12,23,9
112,-0.066421810692442,-0.995998480565643,0.059792723430768,13,26,4
113,-0.341027477690182,0.919353447460582,-0.196187405565735,3,5,9
113,-0.929859525919052,-0.190232352769365,-0.31491731298458,3,6,17
113,-0.873818294850711,-0.28739045615536,0.392235023034673,5,10,12
113,0.110046685720295,0.69783675001914,-0.707752497194254,6,11,13
113,0.246610460372983,-0.151667776614299,0.957173007544352,8,16,11
113,-0.443530130984923,-0.756819255491878,0.480110026374389,10,19,19
113,-0.523930588199887,-0.67644574845253,-0.517607851707272,12,24,9
114,0.86529058117783,0.455930465211409,0.208325756969803,1,2,5
